,Unnamed: 0,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
28,28,France,Western Europe,29,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,2015
29,29,Argentina,Latin America and Caribbean,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,2015
30,30,Czech Republic,Central and Eastern Europe,31,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,2015
31,31,Uruguay,Latin America and Caribbean,32,6.485,1.06166,0.8116,0.60362,0.24558,0.2324,2015
32,32,Colombia,Latin America and Caribbean,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,2015
33,33,Thailand,Southeast Asia,34,6.455,0.9669,0.7385,0.55664,0.03187,0.5763,2015
34,34,Saudi Arabia,Middle East and North Africa,35,6.411,1.39541,0.72025,0.31048,0.32524,0.13706,2015
35,35,Spain,Western Europe,36,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,2015
36,36,Malta,Western Europe,37,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,2015
37,37,Taiwan,East Asia,38,6.298,1.29098,0.8753,0.3974,0.08129,0.25376,2015
38,38,Kuwait,Middle East and North Africa,39,6.295,1.55422,0.72492,0.55499,0.25609,0.16228,2015
39,39,Suriname,Latin America and Caribbean,40,6.269,0.99534,0.6082,0.59657,0.13633,0.16991,2015
40,40,Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.21183,0.61483,0.55884,0.0114,0.31844,2015
41,41,El Salvador,Latin America and Caribbean,42,6.13,0.76454,0.67737,0.4035,0.11776,0.10692,2015
42,42,Guatemala,Latin America and Caribbean,43,6.123,0.74553,0.64425,0.57733,0.09472,0.27489,2015
43,43,Uzbekistan,Commonwealth of Independent States,44,6.003,0.63244,0.59772,0.65821,0.30826,0.22837,2015
44,44,Slovakia,Central and Eastern Europe,45,5.995,1.16891,0.78902,0.31751,0.03431,0.16893,2015
45,45,Japan,East Asia,46,5.987,1.27074,0.99111,0.49615,0.1806,0.10705,2015
46,46,South Korea,East Asia,47,5.984,1.24461,0.96538,0.33208,0.07857,0.18557,2015
47,47,Ecuador,Latin America and Caribbean,48,5.975,0.86402,0.79075,0.48574,0.1809,0.11541,2015
48,48,Bahrain,Middle East and North Africa,49,5.96,1.32376,0.74716,0.45492,0.306,0.17362,2015
49,49,Italy,Western Europe,50,5.948,1.25114,0.95446,0.26236,0.02901,0.22823,2015
50,50,Bolivia,Latin America and Caribbean,51,5.89,0.68133,0.5392,0.57414,0.088,0.20536,2015
51,51,Moldova,Commonwealth of Independent States,52,5.889,0.59448,0.61826,0.32818,0.01615,0.20951,2015
52,52,Paraguay,Latin America and Caribbean,53,5.878,0.75985,0.66098,0.53899,0.08242,0.3424,2015
53,53,Kazakhstan,Commonwealth of Independent States,54,5.855,1.12254,0.64368,0.51649,0.08454,0.11827,2015
54,54,Slovenia,Central and Eastern Europe,55,5.848,1.18498,0.87337,0.60855,0.03787,0.25328,2015
55,55,Lithuania,Central and Eastern Europe,56,5.833,1.14723,0.73128,0.21342,0.01031,0.02641,2015
56,56,Nicaragua,Latin America and Caribbean,57,5.828,0.59325,0.74314,0.55475,0.19317,0.27815,2015
57,57,Peru,Latin America and Caribbean,58,5.824,0.90019,0.73017,0.41496,0.05989,0.14982,2015
58,58,Belarus,Commonwealth of Independent States,59,5.813,1.03192,0.73608,0.37938,0.1909,0.11046,2015
59,59,Poland,Central and Eastern Europe,60,5.791,1.12555,0.77903,0.53122,0.04212,0.16759,2015
60,60,Malaysia,Southeast Asia,61,5.77,1.12486,0.72394,0.53024,0.10501,0.33075,2015
61,61,Croatia,Central and Eastern Europe,62,5.759,1.08254,0.78805,0.25883,0.0243,0.05444,2015
62,62,Libya,Middle East and North Africa,63,5.754,1.13145,0.7038,0.41668,0.11023,0.18295,2015
63,63,Russia,Commonwealth of Independent States,64,5.716,1.13764,0.66926,0.36679,0.03005,0.00199,2015
64,64,Jamaica,Latin America and Caribbean,65,5.709,0.81038,0.68741,0.50442,0.02299,0.2123,2015
65,65,North Cyprus,Western Europe,66,5.695,1.20806,0.92356,0.49027,0.1428,0.26169,2015
66,66,Cyprus,Western Europe,67,5.689,1.20813,0.92356,0.40672,0.06146,0.30638,2015
67,67,Algeria,Middle East and North Africa,68,5.605,0.93929,0.61766,0.28579,0.17383,0.07822,2015
68,68,Kosovo,Central and Eastern Europe,69,5.589,0.80148,0.63132,0.24749,0.04741,0.2831,2015
69,69,Turkmenistan,Commonwealth of Independent States,70,5.548,0.95847,0.53886,0.4761,0.30844,0.16979,2015
70,70,Mauritius,Sub-Saharan Africa,71,5.477,1.00761,0.7095,0.56066,0.07521,0.37744,2015
71,71,Hong Kong S.A.R. of China,East Asia,72,5.474,1.38604,1.01328,0.59608,0.37124,0.39478,2015
72,72,Estonia,Central and Eastern Europe,73,5.429,1.15174,0.77361,0.44888,0.15184,0.0868,2015
73,73,Indonesia,Southeast Asia,74,5.399,0.82827,0.63793,0.46611,0.0,0.51535,2015
74,74,Vietnam,Southeast Asia,75,5.36,0.63216,0.74676,0.59444,0.10441,0.1686,2015
75,75,Turkey,Middle East and North Africa,76,5.332,1.06098,0.73172,0.22815,0.15746,0.12253,2015
76,76,Kyrgyzstan,Commonwealth of Independent States,77,5.286,0.47428,0.65088,0.43477,0.04232,0.3003,2015
77,77,Nigeria,Sub-Saharan Africa,78,5.268,0.65435,0.16007,0.34334,0.0403,0.27233,2015
78,78,Bhutan,South Asia,79,5.253,0.77042,0.57407,0.53206,0.15445,0.47998,2015
79,79,Azerbaijan,Commonwealth of Independent States,80,5.212,1.02389,0.64045,0.3703,0.16065,0.07799,2015
80,80,Pakistan,South Asia,81,5.194,0.59543,0.51466,0.12102,0.10464,0.33671,2015
81,81,Jordan,Middle East and North Africa,82,5.192,0.90198,0.69639,0.40661,0.14293,0.11053,2015
82,82,Montenegro,Central and Eastern Europe,82,5.192,0.97438,0.72521,0.1826,0.14296,0.1614,2015
83,83,China,East Asia,84,5.14,0.89012,0.81658,0.51697,0.02781,0.08185,2015
84,84,Zambia,Sub-Saharan Africa,85,5.129,0.47038,0.29924,0.48827,0.12468,0.19591,2015
85,85,Romania,Central and Eastern Europe,86,5.124,1.04345,0.7689,0.35068,0.00649,0.13748,2015
86,86,Serbia,Central and Eastern Europe,87,5.123,0.92053,0.74836,0.20107,0.02617,0.19231,2015
87,87,Portugal,Western Europe,88,5.102,1.15991,0.87519,0.51469,0.01078,0.13719,2015
88,88,Latvia,Central and Eastern Europe,89,5.098,1.11312,0.72437,0.29671,0.06332,0.18226,2015
89,89,Philippines,Southeast Asia,90,5.073,0.70532,0.58114,0.62545,0.12279,0.24991,2015
90,90,Somalia,Sub-Saharan Africa,91,5.057,0.18847,0.43873,0.46582,0.39928,0.50318,2015
91,91,Morocco,Middle East and North Africa,92,5.013,0.73479,0.60954,0.41691,0.08546,0.07172,2015
92,92,North Macedonia,Central and Eastern Europe,93,5.007,0.91851,0.73545,0.33457,0.05327,0.22359,2015
93,93,Mozambique,Sub-Saharan Africa,94,4.971,0.08308,0.09131,0.34037,0.15603,0.22269,2015
94,94,Albania,Central and Eastern Europe,95,4.959,0.87867,0.81325,0.35733,0.06413,0.14272,2015
95,95,Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.83223,0.79081,0.09245,0.00227,0.24808,2015
96,96,Lesotho,Sub-Saharan Africa,97,4.898,0.37545,0.07612,0.31767,0.12504,0.16388,2015
97,97,Dominican Republic,Latin America and Caribbean,98,4.885,0.89537,0.66825,0.57672,0.14234,0.21684,2015
98,98,Laos,Southeast Asia,99,4.876,0.59066,0.54909,0.59591,0.24249,0.42192,2015
99,99,Mongolia,East Asia,100,4.874,0.82819,0.60268,0.43626,0.02666,0.3323,2015
100,100,Swaziland,Sub-Saharan Africa,101,4.867,0.71206,0.07566,0.30658,0.0306,0.18259,2015
101,101,Greece,Western Europe,102,4.857,1.15406,0.88213,0.07699,0.01397,0.0,2015
102,102,Lebanon,Middle East and North Africa,103,4.839,1.02564,0.83947,0.33916,0.04582,0.21854,2015
103,103,Hungary,Central and Eastern Europe,104,4.8,1.12094,0.75905,0.32112,0.02758,0.128,2015
104,104,Honduras,Latin America and Caribbean,105,4.788,0.59532,0.6951,0.40148,0.06825,0.23027,2015
105,105,Tajikistan,Commonwealth of Independent States,106,4.786,0.39047,0.57379,0.47216,0.15072,0.22974,2015
106,106,Tunisia,Middle East and North Africa,107,4.739,0.88113,0.73793,0.26268,0.06358,0.06431,2015
107,107,Palestinian Territories,Middle East and North Africa,108,4.715,0.59867,0.66015,0.24499,0.12905,0.11251,2015
108,108,Bangladesh,South Asia,109,4.694,0.39753,0.60164,0.4082,0.12569,0.21222,2015
109,109,Iran,Middle East and North Africa,110,4.686,1.0088,0.69805,0.30033,0.05863,0.38086,2015
110,110,Ukraine,Commonwealth of Independent States,111,4.681,0.79907,0.6739,0.25123,0.02961,0.15275,2015
111,111,Iraq,Middle East and North Africa,112,4.677,0.98549,0.60237,0.0,0.13788,0.17922,2015
112,112,South Africa,Sub-Saharan Africa,113,4.642,0.92049,0.27688,0.33207,0.08884,0.11973,2015
113,113,Ghana,Sub-Saharan Africa,114,4.633,0.54558,0.40132,0.42342,0.04355,0.23087,2015
114,114,Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,0.33475,0.25861,0.08079,0.18987,2015
115,115,Liberia,Sub-Saharan Africa,116,4.571,0.0712,0.34201,0.28531,0.06232,0.24362,2015
116,116,India,South Asia,117,4.565,0.64499,0.51529,0.39786,0.08492,0.26475,2015
117,117,Sudan,Sub-Saharan Africa,118,4.55,0.52107,0.36878,0.10081,0.1466,0.19062,2015
118,118,Haiti,Latin America and Caribbean,119,4.518,0.26673,0.38847,0.24425,0.17175,0.46187,2015
119,119,Congo (Kinshasa),Sub-Saharan Africa,120,4.517,0.0,0.09806,0.22605,0.07625,0.24834,2015
120,120,Nepal,South Asia,121,4.514,0.35997,0.56874,0.38282,0.05907,0.32296,2015
121,121,Ethiopia,Sub-Saharan Africa,122,4.512,0.19073,0.44055,0.4345,0.15048,0.24325,2015
122,122,Sierra Leone,Sub-Saharan Africa,123,4.507,0.33024,0.0,0.4084,0.08786,0.21488,2015
123,123,Mauritania,Sub-Saharan Africa,124,4.436,0.45407,0.35874,0.24232,0.17461,0.219,2015
124,124,Kenya,Sub-Saharan Africa,125,4.419,0.36471,0.41435,0.42215,0.05839,0.37542,2015
125,125,Djibouti,Sub-Saharan Africa,126,4.369,0.44025,0.36291,0.46074,0.28105,0.18093,2015
126,126,Armenia,Commonwealth of Independent States,127,4.35,0.76821,0.7299,0.19847,0.039,0.07855,2015
127,127,Botswana,Sub-Saharan Africa,128,4.332,0.99355,0.04776,0.49495,0.12474,0.10461,2015
128,128,Myanmar,Southeast Asia,129,4.307,0.27108,0.48246,0.44017,0.19034,0.79588,2015
129,129,Georgia,Commonwealth of Independent States,130,4.297,0.7419,0.72926,0.40577,0.38331,0.05547,2015
130,130,Malawi,Sub-Saharan Africa,131,4.292,0.01604,0.22562,0.43054,0.06977,0.33128,2015
131,131,Sri Lanka,South Asia,132,4.271,0.83524,0.70806,0.53726,0.09179,0.40828,2015
132,132,Cameroon,Sub-Saharan Africa,133,4.252,0.4225,0.23402,0.49309,0.05786,0.20618,2015
133,133,Bulgaria,Central and Eastern Europe,134,4.218,1.01216,0.76649,0.30587,0.00872,0.11921,2015
134,134,Egypt,Middle East and North Africa,135,4.194,0.8818,0.61712,0.17288,0.06324,0.11291,2015
135,135,Yemen,Middle East and North Africa,136,4.077,0.54649,0.40064,0.35571,0.07854,0.09131,2015
136,136,Angola,Sub-Saharan Africa,137,4.033,0.75778,0.16683,0.10384,0.07122,0.12344,2015
137,137,Mali,Sub-Saharan Africa,138,3.995,0.26074,0.20583,0.38857,0.12352,0.18798,2015
138,138,Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.67866,0.31051,0.41466,0.11686,0.12388,2015
139,139,Comoros,Sub-Saharan Africa,140,3.956,0.23906,0.36315,0.22917,0.199,0.17441,2015
140,140,Uganda,Sub-Saharan Africa,141,3.931,0.21102,0.33861,0.45727,0.07267,0.29066,2015
141,141,Senegal,Sub-Saharan Africa,142,3.904,0.36498,0.4354,0.36772,0.10713,0.20843,2015
142,142,Gabon,Sub-Saharan Africa,143,3.896,1.06024,0.43372,0.31914,0.11091,0.06822,2015
143,143,Niger,Sub-Saharan Africa,144,3.845,0.0694,0.29707,0.47692,0.15639,0.19387,2015
144,144,Cambodia,Southeast Asia,145,3.819,0.46038,0.61114,0.66246,0.07247,0.40359,2015
145,145,Tanzania,Sub-Saharan Africa,146,3.781,0.2852,0.38215,0.32878,0.05747,0.34377,2015
146,146,Madagascar,Sub-Saharan Africa,147,3.681,0.20824,0.46721,0.19184,0.08124,0.21333,2015
147,147,Central African Republic,Sub-Saharan Africa,148,3.678,0.0785,0.06699,0.48879,0.08289,0.23835,2015
148,148,Chad,Sub-Saharan Africa,149,3.667,0.34193,0.1501,0.23501,0.05269,0.18386,2015
149,149,Guinea,Sub-Saharan Africa,150,3.656,0.17417,0.24009,0.37725,0.12139,0.28657,2015
150,150,Ivory Coast,Sub-Saharan Africa,151,3.655,0.46534,0.15185,0.46866,0.17922,0.20165,2015
151,151,Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812,0.27125,0.39493,0.12832,0.21747,2015
152,152,Afghanistan,South Asia,153,3.575,0.31982,0.30335,0.23414,0.09719,0.3651,2015
153,153,Rwanda,Sub-Saharan Africa,154,3.465,0.22208,0.42864,0.59201,0.55191,0.22628,2015
154,154,Benin,Sub-Saharan Africa,155,3.34,0.28665,0.3191,0.4845,0.0801,0.1826,2015
155,155,Syria,Middle East and North Africa,156,3.006,0.6632,0.72193,0.15684,0.18906,0.47179,2015
156,156,Burundi,Sub-Saharan Africa,157,2.905,0.0153,0.22396,0.1185,0.10062,0.19727,2015
157,157,Togo,Sub-Saharan Africa,158,2.839,0.20868,0.28443,0.36453,0.10731,0.16681,2015
0,0,Denmark,Western Europe,1,7.526,1.44178,0.79504,0.57941,0.44453,0.36171,2016
1,1,Switzerland,Western Europe,2,7.509,1.52733,0.86303,0.58557,0.41203,0.28083,2016
2,2,Iceland,Western Europe,3,7.501,1.42666,0.86733,0.56624,0.14975,0.47678,2016
3,3,Norway,Western Europe,4,7.498,1.57744,0.79579,0.59609,0.35776,0.37895,2016
4,4,Finland,Western Europe,5,7.413,1.40598,0.81091,0.57104,0.41004,0.25492,2016
5,5,Canada,North America and ANZ,6,7.404,1.44015,0.8276,0.5737,0.31329,0.44834,2016
6,6,Netherlands,Western Europe,7,7.339,1.46468,0.81231,0.55211,0.29927,0.47416,2016
7,7,New Zealand,North America and ANZ,8,7.334,1.36066,0.83096,0.58147,0.41904,0.49401,2016
8,8,Australia,North America and ANZ,9,7.313,1.44443,0.8512,0.56837,0.32331,0.47407,2016
9,9,Sweden,Western Europe,10,7.291,1.45181,0.83121,0.58218,0.40867,0.38254,2016
10,10,Israel,Middle East and North Africa,11,7.267,1.33766,0.84917,0.36432,0.08728,0.32288,2016
11,11,Austria,Western Europe,12,7.119,1.45038,0.80565,0.54355,0.21348,0.32865,2016
12,12,United States,North America and ANZ,13,7.104,1.50796,0.779,0.48163,0.14868,0.41077,2016
13,13,Costa Rica,Latin America and Caribbean,14,7.087,1.06879,0.76146,0.55225,0.10547,0.22553,2016
14,14,Puerto Rico,Latin America and Caribbean,15,7.039,1.35943,0.77758,0.46823,0.12275,0.22202,2016
15,15,Germany,Western Europe,16,6.994,1.44787,0.81487,0.53466,0.28551,0.30452,2016
16,16,Brazil,Latin America and Caribbean,17,6.952,1.08754,0.61415,0.40425,0.14166,0.15776,2016
17,17,Belgium,Western Europe,18,6.929,1.42539,0.81959,0.51354,0.26248,0.2424,2016
18,18,Ireland,Western Europe,19,6.907,1.48341,0.81455,0.54008,0.29754,0.44963,2016
19,19,Luxembourg,Western Europe,20,6.871,1.69752,0.84542,0.5487,0.35329,0.27571,2016
20,20,Mexico,Latin America and Caribbean,21,6.778,1.11508,0.71143,0.37709,0.18355,0.11735,2016
21,21,Singapore,Southeast Asia,22,6.739,1.64555,0.94719,0.4877,0.46987,0.32706,2016
22,22,United Kingdom,Western Europe,23,6.725,1.40283,0.80991,0.50036,0.27399,0.50156,2016
23,23,Chile,Latin America and Caribbean,24,6.705,1.2167,0.81883,0.37789,0.11451,0.31595,2016
24,24,Panama,Latin America and Caribbean,25,6.701,1.18306,0.70835,0.48927,0.08423,0.2418,2016
25,25,Argentina,Latin America and Caribbean,26,6.65,1.15137,0.69711,0.42284,0.07296,0.10989,2016
26,26,Czech Republic,Central and Eastern Europe,27,6.596,1.30915,0.76376,0.41418,0.03986,0.09929,2016
27,27,United Arab Emirates,Middle East and North Africa,28,6.573,1.57352,0.72993,0.56215,0.35561,0.26591,2016
28,28,Uruguay,Latin America and Caribbean,29,6.545,1.18157,0.72183,0.54388,0.21394,0.18056,2016
29,29,Malta,Western Europe,30,6.488,1.30782,0.80315,0.54994,0.17554,0.56237,2016
30,30,Colombia,Latin America and Caribbean,31,6.481,1.03032,0.59659,0.44735,0.05399,0.15626,2016
31,31,France,Western Europe,32,6.478,1.39488,0.83795,0.46562,0.17808,0.1216,2016
32,32,Thailand,Southeast Asia,33,6.474,1.0893,0.64915,0.49553,0.02833,0.58696,2016
33,33,Saudi Arabia,Middle East and North Africa,34,6.379,1.48953,0.59267,0.37904,0.30008,0.15457,2016
34,34,Taiwan,East Asia,34,6.379,1.39729,0.79565,0.32377,0.0663,0.25495,2016
35,35,Qatar,Middle East and North Africa,36,6.375,1.82427,0.71723,0.56679,0.48049,0.32388,2016
36,36,Spain,Western Europe,37,6.361,1.34253,0.87896,0.37545,0.06137,0.17665,2016
37,37,Algeria,Middle East and North Africa,38,6.355,1.05266,0.61804,0.21006,0.16157,0.07044,2016
38,38,Guatemala,Latin America and Caribbean,39,6.324,0.83454,0.54039,0.50379,0.08701,0.28808,2016
39,39,Suriname,Latin America and Caribbean,40,6.269,1.09686,0.50933,0.52234,0.12692,0.16665,2016
40,40,Kuwait,Middle East and North Africa,41,6.239,1.61714,0.63569,0.43166,0.23669,0.15965,2016
41,41,Bahrain,Middle East and North Africa,42,6.218,1.44024,0.65696,0.47375,0.25772,0.17147,2016
42,42,Trinidad and Tobago,Latin America and Caribbean,43,6.168,1.32572,0.52608,0.48453,0.01241,0.31935,2016
43,43,Venezuela,Latin America and Caribbean,44,6.084,1.13367,0.61904,0.19847,0.08304,0.0425,2016
44,44,Slovakia,Central and Eastern Europe,45,6.078,1.27973,0.70367,0.23391,0.02947,0.13837,2016
45,45,El Salvador,Latin America and Caribbean,46,6.068,0.8737,0.596,0.37269,0.10613,0.08877,2016
46,46,Malaysia,Southeast Asia,47,6.005,1.25142,0.62366,0.39031,0.09081,0.41474,2016
47,47,Nicaragua,Latin America and Caribbean,48,5.992,0.69384,0.65213,0.46582,0.16292,0.29773,2016
48,48,Uzbekistan,Commonwealth of Independent States,49,5.987,0.73591,0.50163,0.60848,0.28333,0.34326,2016
49,49,Italy,Western Europe,50,5.977,1.35495,0.85102,0.18827,0.02556,0.16684,2016
50,50,Ecuador,Latin America and Caribbean,51,5.976,0.97306,0.68613,0.4027,0.18037,0.10074,2016
51,51,Belize,Latin America and Caribbean,52,5.956,0.87616,0.45569,0.51231,0.10771,0.23684,2016
52,52,Japan,East Asia,53,5.921,1.38007,0.91491,0.46761,0.18985,0.10224,2016
53,53,Kazakhstan,Commonwealth of Independent States,54,5.919,1.22943,0.57386,0.4052,0.11132,0.15011,2016
54,54,Moldova,Commonwealth of Independent States,55,5.897,0.69177,0.52309,0.25202,0.01903,0.19997,2016
55,55,Russia,Commonwealth of Independent States,56,5.856,1.23228,0.58991,0.32682,0.03586,0.02736,2016
56,56,Poland,Central and Eastern Europe,57,5.835,1.24585,0.69058,0.4519,0.055,0.14443,2016
57,57,South Korea,East Asia,57,5.835,1.35948,0.88645,0.25168,0.07716,0.18824,2016
58,58,Bolivia,Latin America and Caribbean,59,5.822,0.79422,0.4697,0.50961,0.07746,0.21698,2016
59,59,Lithuania,Central and Eastern Europe,60,5.813,1.2692,0.64674,0.18929,0.0182,0.02025,2016
60,60,Belarus,Commonwealth of Independent States,61,5.802,1.13062,0.63104,0.29091,0.17457,0.13942,2016
61,61,North Cyprus,Western Europe,62,5.771,1.31141,0.84142,0.43596,0.16578,0.26322,2016
62,62,Slovenia,Central and Eastern Europe,63,5.768,1.29947,0.79151,0.53164,0.03635,0.25738,2016
63,63,Peru,Latin America and Caribbean,64,5.743,0.99602,0.62994,0.37502,0.05292,0.14527,2016
64,64,Turkmenistan,Commonwealth of Independent States,65,5.658,1.08017,0.44006,0.37408,0.28467,0.22567,2016
65,65,Mauritius,Sub-Saharan Africa,66,5.648,1.14372,0.66189,0.46145,0.05203,0.36951,2016
66,66,Libya,Middle East and North Africa,67,5.615,1.06688,0.52304,0.40672,0.10339,0.17087,2016
67,67,Latvia,Central and Eastern Europe,68,5.56,1.21788,0.63952,0.27996,0.0889,0.17445,2016
68,68,Cyprus,Western Europe,69,5.546,1.31857,0.8488,0.29507,0.05228,0.27906,2016
69,69,Paraguay,Latin America and Caribbean,70,5.538,0.89373,0.58295,0.46235,0.07396,0.25296,2016
70,70,Romania,Central and Eastern Europe,71,5.528,1.1697,0.67602,0.36712,0.00679,0.12889,2016
71,71,Estonia,Central and Eastern Europe,72,5.517,1.27964,0.68098,0.41511,0.18519,0.08423,2016
72,72,Jamaica,Latin America and Caribbean,73,5.51,0.89333,0.59469,0.43597,0.04294,0.22245,2016
73,73,Croatia,Central and Eastern Europe,74,5.488,1.18649,0.70524,0.23907,0.04002,0.18434,2016
74,74,Hong Kong S.A.R. of China,East Asia,75,5.458,1.5107,0.95277,0.48079,0.31647,0.40097,2016
75,75,Somalia,Sub-Saharan Africa,76,5.44,0.0,0.11466,0.56778,0.3118,0.27225,2016
76,76,Kosovo,Central and Eastern Europe,77,5.401,0.90145,0.54,0.14396,0.06547,0.27992,2016
77,77,Turkey,Middle East and North Africa,78,5.389,1.16492,0.64718,0.23889,0.12348,0.04707,2016
78,78,Indonesia,Southeast Asia,79,5.314,0.95104,0.49374,0.39237,0.00322,0.56521,2016
79,79,Jordan,Middle East and North Africa,80,5.303,0.99673,0.60712,0.36023,0.13297,0.14262,2016
80,80,Azerbaijan,Commonwealth of Independent States,81,5.291,1.12373,0.54504,0.35327,0.17914,0.0564,2016
81,81,Philippines,Southeast Asia,82,5.279,0.81217,0.47036,0.54854,0.11757,0.21674,2016
82,82,China,East Asia,83,5.245,1.0278,0.73561,0.44012,0.02745,0.04959,2016
83,83,Bhutan,South Asia,84,5.196,0.8527,0.49759,0.46074,0.1616,0.48546,2016
84,84,Kyrgyzstan,Commonwealth of Independent States,85,5.185,0.56044,0.55449,0.40212,0.04762,0.38432,2016
85,85,Serbia,Central and Eastern Europe,86,5.177,1.03437,0.6458,0.15718,0.04339,0.20737,2016
86,86,Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,0.93383,0.70766,0.09511,0.0,0.29889,2016
87,87,Montenegro,Central and Eastern Europe,88,5.161,1.07838,0.63533,0.15111,0.12721,0.17191,2016
88,88,Dominican Republic,Latin America and Caribbean,89,5.155,1.02787,0.57669,0.52259,0.12372,0.21286,2016
89,89,Morocco,Middle East and North Africa,90,5.151,0.84058,0.59471,0.25646,0.08404,0.04053,2016
90,90,Hungary,Central and Eastern Europe,91,5.145,1.24142,0.67608,0.1977,0.04472,0.099,2016
91,91,Pakistan,South Asia,92,5.132,0.68816,0.40306,0.14622,0.1388,0.31185,2016
92,92,Lebanon,Middle East and North Africa,93,5.129,1.12268,0.76171,0.26228,0.03061,0.23693,2016
93,93,Portugal,Western Europe,94,5.123,1.27607,0.79363,0.44727,0.01521,0.11691,2016
94,94,North Macedonia,Central and Eastern Europe,95,5.121,1.0193,0.64738,0.27668,0.07047,0.23507,2016
95,95,Vietnam,Southeast Asia,96,5.061,0.74037,0.66157,0.55954,0.11556,0.25075,2016
96,96,Somalia,Sub-Saharan Africa,97,5.057,0.25558,0.33108,0.3913,0.36794,0.51479,2016
97,97,Tunisia,Middle East and North Africa,98,5.045,0.97724,0.59577,0.23553,0.0817,0.03936,2016
98,98,Greece,Western Europe,99,5.033,1.24886,0.80029,0.05822,0.04127,0.0,2016
99,99,Tajikistan,Commonwealth of Independent States,100,4.996,0.48835,0.53119,0.43408,0.13509,0.25998,2016
100,100,Mongolia,East Asia,101,4.907,0.98853,0.55469,0.35972,0.03285,0.34539,2016
101,101,Laos,Southeast Asia,102,4.876,0.68042,0.38291,0.52168,0.22423,0.43079,2016
