,Unnamed: 0,Country,Region,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,Happiness Rank,Year
31,31,Singapore,Southeast Asia,6.377,1.695,1.019,0.897,0.664,0.176,0.547,1.379,32,2021
32,32,Kosovo,Central and Eastern Europe,6.372,0.937,0.807,0.483,0.593,0.356,0.014,3.182,33,2021
33,33,Slovakia,Central and Eastern Europe,6.331,1.304,1.066,0.653,0.468,0.107,0.018,2.714,34,2021
34,34,Brazil,Latin America and Caribbean,6.33,1.028,0.944,0.571,0.514,0.142,0.117,3.015,35,2021
35,35,Mexico,Latin America and Caribbean,6.317,1.126,0.83,0.634,0.585,0.092,0.089,2.961,36,2021
36,36,Jamaica,Latin America and Caribbean,6.309,0.891,0.932,0.599,0.618,0.099,0.035,3.135,37,2021
37,37,Lithuania,Central and Eastern Europe,6.255,1.35,1.065,0.612,0.476,0.056,0.073,2.624,38,2021
38,38,Cyprus,Western Europe,6.223,1.377,0.765,0.801,0.464,0.178,0.061,2.578,39,2021
39,39,Estonia,Central and Eastern Europe,6.189,1.344,1.079,0.64,0.641,0.119,0.263,2.103,40,2021
40,40,Panama,Latin America and Caribbean,6.18,1.298,0.976,0.667,0.596,0.079,0.053,2.509,41,2021
41,41,Uzbekistan,Commonwealth of Independent States,6.179,0.769,1.027,0.528,0.716,0.391,0.271,2.477,42,2021
42,42,Chile,Latin America and Caribbean,6.172,1.2,0.946,0.678,0.438,0.159,0.07,2.682,43,2021
43,43,Poland,Central and Eastern Europe,6.166,1.309,0.982,0.668,0.558,0.08,0.13,2.438,44,2021
44,44,Kazakhstan,Commonwealth of Independent States,6.152,1.23,1.103,0.527,0.573,0.143,0.132,2.446,45,2021
45,45,Romania,Central and Eastern Europe,6.14,1.275,0.832,0.595,0.564,0.045,0.001,2.83,46,2021
46,46,Kuwait,Middle East and North Africa,6.106,1.461,0.857,0.58,0.591,0.12,0.13,2.368,47,2021
47,47,Serbia,Central and Eastern Europe,6.078,1.101,0.924,0.634,0.482,0.189,0.066,2.682,48,2021
48,48,El Salvador,Latin America and Caribbean,6.061,0.845,0.675,0.565,0.615,0.116,0.16,3.085,49,2021
49,49,Mauritius,Sub-Saharan Africa,6.049,1.178,0.996,0.574,0.59,0.153,0.096,2.462,50,2021
50,50,Latvia,Central and Eastern Europe,6.032,1.285,1.047,0.587,0.405,0.082,0.089,2.536,51,2021
51,51,Colombia,Latin America and Caribbean,6.012,1.021,0.866,0.615,0.554,0.1,0.063,2.794,52,2021
52,52,Hungary,Central and Eastern Europe,5.992,1.301,1.083,0.615,0.454,0.067,0.04,2.432,53,2021
53,53,Thailand,Southeast Asia,5.985,1.107,0.957,0.596,0.611,0.375,0.028,2.309,54,2021
54,54,Nicaragua,Latin America and Caribbean,5.972,0.693,0.904,0.604,0.553,0.201,0.176,2.841,55,2021
55,55,Japan,East Asia,5.94,1.389,0.949,0.838,0.504,0.02,0.192,2.048,56,2021
56,56,Argentina,Latin America and Caribbean,5.929,1.162,0.98,0.646,0.544,0.069,0.067,2.461,57,2021
57,57,Portugal,Western Europe,5.929,1.323,0.939,0.76,0.621,0.029,0.033,2.225,57,2021
58,58,Honduras,Latin America and Caribbean,5.919,0.703,0.787,0.593,0.578,0.241,0.083,2.934,59,2021
59,59,Croatia,Central and Eastern Europe,5.882,1.251,1.039,0.703,0.453,0.111,0.0,2.325,60,2021
60,60,Philippines,Southeast Asia,5.88,0.853,0.828,0.426,0.651,0.125,0.126,2.872,61,2021
61,61,South Korea,East Asia,5.845,1.403,0.758,0.801,0.353,0.134,0.135,2.262,62,2021
62,62,Peru,Latin America and Caribbean,5.84,0.986,0.833,0.623,0.536,0.087,0.031,2.744,63,2021
63,63,Bosnia and Herzegovina,Central and Eastern Europe,5.813,1.032,0.919,0.618,0.395,0.261,0.005,2.583,64,2021
64,64,Moldova,Commonwealth of Independent States,5.766,0.985,0.888,0.542,0.536,0.137,0.013,2.665,65,2021
65,65,Ecuador,Latin America and Caribbean,5.764,0.935,0.806,0.64,0.56,0.107,0.062,2.653,66,2021
66,66,Kyrgyzstan,Commonwealth of Independent States,5.744,0.665,0.971,0.501,0.673,0.266,0.02,2.648,67,2021
67,67,Greece,Western Europe,5.723,1.273,0.811,0.76,0.243,0.0,0.074,2.561,68,2021
68,68,Bolivia,Latin America and Caribbean,5.716,0.842,0.782,0.486,0.6,0.138,0.064,2.805,69,2021
69,69,Mongolia,East Asia,5.677,0.966,1.065,0.442,0.397,0.263,0.053,2.492,70,2021
70,70,Paraguay,Latin America and Caribbean,5.653,0.983,0.97,0.549,0.602,0.206,0.037,2.306,71,2021
71,71,Montenegro,Central and Eastern Europe,5.581,1.155,0.891,0.637,0.397,0.166,0.081,2.254,72,2021
72,72,Dominican Republic,Latin America and Caribbean,5.545,1.106,0.879,0.555,0.581,0.101,0.144,2.178,73,2021
73,73,North Cyprus,Western Europe,5.536,1.377,0.806,0.801,0.503,0.196,0.2,1.653,74,2021
74,74,Belarus,Commonwealth of Independent States,5.534,1.124,1.007,0.56,0.326,0.07,0.199,2.247,75,2021
75,75,Russia,Commonwealth of Independent States,5.477,1.241,0.992,0.511,0.409,0.115,0.06,2.148,76,2021
76,76,Hong Kong S.A.R. of China,East Asia,5.477,1.525,0.841,0.893,0.408,0.232,0.342,1.236,76,2021
77,77,Tajikistan,Commonwealth of Independent States,5.466,0.508,0.895,0.498,0.548,0.152,0.247,2.619,78,2021
78,78,Vietnam,Southeast Asia,5.411,0.817,0.873,0.616,0.679,0.124,0.091,2.211,79,2021
79,79,Libya,Middle East and North Africa,5.41,1.044,0.821,0.435,0.474,0.131,0.174,2.331,80,2021
80,80,Malaysia,Southeast Asia,5.384,1.259,0.797,0.587,0.624,0.27,0.064,1.784,81,2021
81,81,Indonesia,Southeast Asia,5.345,0.954,0.786,0.433,0.598,0.541,0.046,1.987,82,2021
82,82,Congo (Brazzaville),Sub-Saharan Africa,5.342,0.518,0.392,0.307,0.381,0.144,0.124,3.476,83,2021
83,83,China,East Asia,5.339,1.061,0.785,0.665,0.636,0.093,0.117,1.982,84,2021
84,84,Ivory Coast,Sub-Saharan Africa,5.306,0.669,0.409,0.052,0.438,0.177,0.092,3.469,85,2021
85,85,Armenia,Commonwealth of Independent States,5.283,0.996,0.758,0.585,0.54,0.079,0.198,2.127,86,2021
86,86,Nepal,South Asia,5.269,0.519,0.702,0.496,0.488,0.287,0.135,2.642,87,2021
87,87,Bulgaria,Central and Eastern Europe,5.266,1.181,1.055,0.583,0.494,0.125,0.005,1.823,88,2021
88,88,Maldives,South Asia,5.198,1.115,1.015,0.697,0.575,0.204,0.073,1.52,89,2021
89,89,Azerbaijan,Commonwealth of Independent States,5.171,1.025,0.841,0.541,0.526,0.043,0.276,1.919,90,2021
90,90,Cameroon,Sub-Saharan Africa,5.142,0.543,0.556,0.159,0.425,0.205,0.058,3.195,91,2021
91,91,Senegal,Sub-Saharan Africa,5.132,0.518,0.558,0.357,0.381,0.158,0.088,3.071,92,2021
92,92,Albania,Central and Eastern Europe,5.117,1.008,0.529,0.646,0.491,0.168,0.024,2.25,93,2021
93,93,North Macedonia,Central and Eastern Europe,5.101,1.068,0.772,0.535,0.45,0.212,0.022,2.042,94,2021
94,94,Ghana,Sub-Saharan Africa,5.088,0.68,0.595,0.287,0.517,0.268,0.058,2.684,95,2021
95,95,Niger,Sub-Saharan Africa,5.074,0.162,0.402,0.167,0.516,0.2,0.157,3.47,96,2021
96,96,Turkmenistan,Commonwealth of Independent States,5.066,1.046,1.172,0.439,0.602,0.366,0.033,1.409,97,2021
97,97,Gambia,Sub-Saharan Africa,5.051,0.367,0.511,0.21,0.384,0.465,0.123,2.99,98,2021
98,98,Benin,Sub-Saharan Africa,5.045,0.507,0.058,0.196,0.457,0.166,0.178,3.482,99,2021
99,99,Laos,Southeast Asia,5.03,0.808,0.598,0.33,0.643,0.268,0.179,2.204,100,2021
100,100,Bangladesh,South Asia,5.025,0.635,0.52,0.514,0.603,0.161,0.164,2.427,101,2021
101,101,Guinea,Sub-Saharan Africa,4.984,0.42,0.399,0.206,0.384,0.25,0.111,3.216,102,2021
102,102,South Africa,Sub-Saharan Africa,4.956,0.967,0.895,0.265,0.447,0.144,0.051,2.187,103,2021
103,103,Turkey,Middle East and North Africa,4.948,1.26,0.809,0.59,0.236,0.097,0.104,1.852,104,2021
104,104,Pakistan,South Asia,4.934,0.637,0.423,0.322,0.418,0.252,0.097,2.784,105,2021
105,105,Morocco,Middle East and North Africa,4.918,0.792,0.219,0.558,0.477,0.034,0.088,2.749,106,2021
106,106,Venezuela,Latin America and Caribbean,4.892,0.852,0.897,0.574,0.284,0.078,0.072,2.135,107,2021
107,107,Georgia,Commonwealth of Independent States,4.891,1.03,0.47,0.498,0.488,0.032,0.181,2.191,108,2021
108,108,Algeria,Middle East and North Africa,4.887,0.946,0.765,0.552,0.119,0.144,0.12,2.242,109,2021
109,109,Ukraine,Commonwealth of Independent States,4.875,0.979,0.958,0.517,0.417,0.181,0.01,1.813,110,2021
110,110,Iraq,Middle East and North Africa,4.854,0.91,0.638,0.381,0.302,0.153,0.041,2.429,111,2021
111,111,Gabon,Sub-Saharan Africa,4.852,1.037,0.707,0.362,0.424,0.058,0.064,2.201,112,2021
112,112,Burkina Faso,Sub-Saharan Africa,4.834,0.364,0.472,0.179,0.381,0.182,0.122,3.133,113,2021
113,113,Cambodia,Southeast Asia,4.83,0.603,0.68,0.426,0.702,0.21,0.061,2.148,114,2021
114,114,Mozambique,Sub-Saharan Africa,4.794,0.183,0.634,0.196,0.608,0.228,0.163,2.783,115,2021
115,115,Nigeria,Sub-Saharan Africa,4.759,0.663,0.625,0.051,0.433,0.212,0.039,2.736,116,2021
116,116,Mali,Sub-Saharan Africa,4.723,0.387,0.59,0.11,0.384,0.164,0.072,3.016,117,2021
117,117,Iran,Middle East and North Africa,4.721,1.03,0.557,0.561,0.275,0.33,0.144,1.823,118,2021
118,118,Uganda,Sub-Saharan Africa,4.636,0.364,0.718,0.24,0.398,0.267,0.054,2.596,119,2021
119,119,Liberia,Sub-Saharan Africa,4.625,0.228,0.58,0.253,0.43,0.221,0.057,2.857,120,2021
120,120,Kenya,Sub-Saharan Africa,4.607,0.603,0.508,0.385,0.483,0.375,0.073,2.18,121,2021
121,121,Tunisia,Middle East and North Africa,4.596,0.919,0.515,0.59,0.334,0.057,0.044,2.138,122,2021
122,122,Lebanon,Middle East and North Africa,4.584,1.045,0.868,0.595,0.175,0.14,0.026,1.736,123,2021
123,123,Namibia,Sub-Saharan Africa,4.574,0.882,0.801,0.262,0.411,0.091,0.059,2.068,124,2021
124,124,Palestinian Territories,Middle East and North Africa,4.517,0.646,0.819,0.434,0.33,0.082,0.075,2.131,125,2021
125,125,Myanmar,Southeast Asia,4.426,0.666,0.713,0.341,0.601,0.52,0.178,1.407,126,2021
126,126,Jordan,Middle East and North Africa,4.395,0.89,0.685,0.583,0.455,0.079,0.15,1.553,127,2021
127,127,Chad,Sub-Saharan Africa,4.355,0.255,0.353,0.0,0.24,0.215,0.084,3.209,128,2021
128,128,Sri Lanka,South Asia,4.325,0.99,0.82,0.593,0.559,0.239,0.049,1.075,129,2021
129,129,Swaziland,Sub-Saharan Africa,4.308,0.849,0.693,0.074,0.323,0.067,0.147,2.155,130,2021
130,130,Comoros,Sub-Saharan Africa,4.289,0.488,0.367,0.279,0.202,0.241,0.101,2.61,131,2021
131,131,Egypt,Middle East and North Africa,4.283,0.954,0.647,0.426,0.446,0.069,0.092,1.648,132,2021
132,132,Ethiopia,Sub-Saharan Africa,4.275,0.37,0.679,0.331,0.451,0.241,0.114,2.089,133,2021
133,133,Mauritania,Sub-Saharan Africa,4.227,0.666,0.749,0.273,0.218,0.119,0.133,2.069,134,2021
134,134,Madagascar,Sub-Saharan Africa,4.208,0.266,0.503,0.341,0.207,0.185,0.087,2.62,135,2021
135,135,Togo,Sub-Saharan Africa,4.107,0.254,0.239,0.203,0.289,0.209,0.107,2.806,136,2021
136,136,Zambia,Sub-Saharan Africa,4.073,0.528,0.552,0.231,0.487,0.227,0.074,1.975,137,2021
137,137,Sierra Leone,Sub-Saharan Africa,3.849,0.279,0.377,0.1,0.408,0.243,0.047,2.396,138,2021
138,138,India,South Asia,3.819,0.741,0.316,0.383,0.622,0.246,0.106,1.405,139,2021
139,139,Burundi,Sub-Saharan Africa,3.775,0.0,0.062,0.155,0.298,0.172,0.212,2.876,140,2021
140,140,Yemen,Middle East and North Africa,3.658,0.329,0.831,0.272,0.268,0.092,0.089,1.776,141,2021
141,141,Tanzania,Sub-Saharan Africa,3.623,0.433,0.54,0.3,0.549,0.307,0.231,1.263,142,2021
142,142,Haiti,Latin America and Caribbean,3.615,0.294,0.173,0.227,0.257,0.463,0.139,2.06,143,2021
143,143,Malawi,Sub-Saharan Africa,3.6,0.113,0.168,0.298,0.484,0.213,0.134,2.19,144,2021
144,144,Lesotho,Sub-Saharan Africa,3.512,0.451,0.731,0.007,0.405,0.103,0.015,1.8,145,2021
145,145,Botswana,Sub-Saharan Africa,3.467,1.099,0.724,0.34,0.539,0.027,0.088,0.648,146,2021
146,146,Rwanda,Sub-Saharan Africa,3.415,0.364,0.202,0.407,0.627,0.227,0.493,1.095,147,2021
147,147,Zimbabwe,Sub-Saharan Africa,3.145,0.457,0.649,0.243,0.359,0.157,0.075,1.205,148,2021
148,148,Afghanistan,South Asia,2.523,0.37,0.0,0.126,0.0,0.122,0.01,1.895,149,2021
